# DATE: 2022-15-2022  UNITS: lj


WCA
N 1000 R 0.3 1.3

1 0.3 7521219.724182045 300958488.3364289
2 0.30100100100100097 7226394.399227965 288201669.91752815
3 0.302002002002002 6944045.769073365 276025226.80376464
4 0.303003003003003 6673607.115197653 264400961.63780114
5 0.304004004004004 6414539.208823101 253302133.59178233
6 0.305005005005005 6166328.893203349 242703378.6871628
7 0.30600600600600597 5928487.743345022 232580634.71500167
8 0.307007007007007 5700550.798699121 222911070.47726405
9 0.308008008008008 5482075.364629135 213673019.08746558
10 0.309009009009009 5272639.878716283 204845915.08562073
11 0.31001001001001 5071842.838200264 196410235.13799646
12 0.311011011011011 4879301.785075449 188347442.10663068
13 0.312012012012012 4694652.345571715 180639932.2871425
14 0.313013013013013 4517547.320943779 173270985.6259788
15 0.314014014014014 4347655.826676131 166224718.74005887
16 0.315015015015015 4184662.477382595 159486040.57283193
17 0.31601601601601603 4028266.6148398467 153040610.53105086
18 0.317017017017017 3878181.5767459422 146874798.9562479
19 0.318018018018018 3734134.003935756 140975649.79388228
20 0.319019019019019 3595863.183918775 135330845.33160025
21 0.32002002002002 3463120.4287289823 129928672.88591933
22 0.32102102102102104 3335668.4851936926 124757993.3240418
23 0.322022022022022 3213280.9758383436 119808211.3144221
24 0.323023023023023 3095741.868747093 115069247.20617144
25 0.324024024024024 2982844.9747963785 110531510.44345587
26 0.325025025025025 2874393.4707694193 106185874.42670883
27 0.32602602602602604 2770199.446945255 102023652.73779778
28 0.327027027027027 2670083.477836544 98036576.65127085
29 0.328028028028028 2573874.2148255436 94216773.85846123
30 0.32902902902902903 2481407.9995192154 90556748.33561972
31 0.33003003003003 2392528.4967109333 87049361.29133269
32 0.33103103103103104 2307086.3458991363 83687813.13232931
33 0.332032032032032 2224938.830372662 80465626.39039676
34 0.333033033033033 2145949.5629277397 77376629.55649003
35 0.33403403403403403 2069988.1873343778 74414941.77131085
36 0.335035035035035 1996930.094718824 71574958.32459548
37 0.33603603603603605 1926656.1540753404 68851336.91815223
38 0.337037037037037 1859052.456164271 66238984.65031528
39 0.338038038038038 1794010.0700942476 63733045.68193445
40 0.33903903903903904 1731424.8119254834 61328889.54634711
41 0.34004004004004 1671197.024667291 59022100.06793964
42 0.34104104104104105 1613231.369077518 56808464.85595287
43 0.342042042042042 1557436.6247040017 54683965.342103615
44 0.343043043043043 1503725.5006385797 52644767.332392804
